,Movie Count,Mean Revenue ($M),Median ROI,Mean Budget ($M),Mean Popularity,Mean Rating
Standalone,2,1765139158.5,9.62,180000000.0,15.29,7.44
Franchise,16,1682668411.38,7.79,219875000.0,15.98,7.38
